bin,set,NP_NP,Normal_1stT,Normal_2ndT,Normal_3rdT,Normal_delivery,PreX_1stT,PreX_2ndT,PreX_3rdT,PreX_delivery,GDM_1stT,GDM_2ndT,GDM_3rdT,GDM_delivery,cHTN_1stT,cHTN_2ndT,cHTN_3rdT,cHTN_delivery
3004,Neutrophils,0.776497695852535,0.782816229116945,0.768637532133676,0.86117136659436,0.802752293577982,0.821727019498607,0.793814432989691,0.756544502617801,0.778532608695652,0.8,0.858565737051793,0.886617100371747,0.780660377358491,0.778571428571429,0.75625,0.865546218487395,0.837837837837838
3028,Placenta-HIGH,0.255882352941176,0.185770750988142,0.214285714285714,0.25,0.24390243902439,0.185483870967742,0.157894736842105,0.32,0.325744308231173,0.266233766233766,0.221238938053097,0.336283185840708,0.244956772334294,0.5,0.0377358490566038,0.282608695652174,0.136363636363636
3037,Placenta-HIGH,0.326530612244898,0.442307692307692,0.313513513513514,0.376884422110553,0.443850267379679,0.30379746835443,0.375,0.356589147286822,0.317073170731707,0.254545454545455,0.263565891472868,0.474358974358974,0.47037037037037,0,0.239130434782609,0.393939393939394,0.356164383561644
3069,Placenta-HIGH,0.188888888888889,0.129032258064516,0.113636363636364,0.12972972972973,0.28125,0.204724409448819,0.144927536231884,0.194174757281553,0.177339901477833,0.21875,0.351851851851852,0.280821917808219,0.271653543307087,0.34375,,0,0.142857142857143
3072,Placenta-HIGH,0.126984126984127,0.112903225806452,0.203296703296703,0.276073619631902,0.323809523809524,0.168421052631579,0.147239263803681,0.307228915662651,0.173469387755102,0.159509202453988,0.125,0.446969696969697,0.299559471365639,0.0625,0.1,,0.414285714285714
3074,Placenta-HIGH,0.10738255033557,0.099009900990099,0.101123595505618,0.213793103448276,0.237762237762238,0.147286821705426,0.139705882352941,0.275510204081633,0.224489795918367,0.130434782608696,0.087248322147651,0.229357798165138,0.267543859649123,0.0833333333333333,0.220588235294118,0.136363636363636,0.115384615384615
3098,T-cells,0.0396039603960396,0.055,0.0549019607843137,0.0352422907488987,0.0735785953177258,0.0287081339712919,0.0571428571428571,0.0376569037656904,0.0385356454720617,0.0357142857142857,0.0592885375494071,0.0378378378378378,0.0411392405063291,0.102564102564103,0.012987012987013,0.133333333333333,0.0121951219512195
3106,Placenta-HIGH,0.172413793103448,0.174603174603175,0.103896103896104,0.197969543147208,0.26797385620915,0.150442477876106,0.276729559748428,0.240740740740741,0.254437869822485,0.21551724137931,0.184210526315789,0.283464566929134,0.202614379084967,0.155555555555556,0.0540540540540541,0.0731707317073171,0.241379310344828
3115,Placenta-HIGH,0.197368421052632,0.0932203389830508,0.190184049079755,0.185,0.174863387978142,0.104895104895105,0.165413533834586,0.236559139784946,0.137339055793991,0.207317073170732,0.226086956521739,0.215384615384615,0.253012048192771,0.0294117647058824,0.114285714285714,0.142857142857143,0.204545454545455
3141,T-cells,0.0769230769230769,0.0428571428571429,0.0406976744186047,0.0285714285714286,0.0365853658536585,0.107438016528926,0.119047619047619,0.0869565217391304,0.107142857142857,0,0.0384615384615385,0.0108695652173913,0.0177514792899408,,,,0
